,date,mean_temp,total_rain,total_snow,max_gust,gust_type
0,2017-01-01,-0.4,0.0,0.0,50.0,Galey
1,2017-01-02,0.4,0.0,0.0,35.0,Breezy
2,2017-01-03,3.1,15.8,0.0,29.0,Moderate
3,2017-01-04,-2.5,0.2,0.0,80.0,Galey
4,2017-01-05,-9.2,0.0,0.0,56.0,Galey
5,2017-01-06,-10.4,0.0,0.0,43.0,Breezy
6,2017-01-07,-10.9,0.0,0.0,41.0,Breezy
7,2017-01-08,-11.2,0.0,0.0,50.0,Galey
8,2017-01-09,-6.1,0.0,0.0,57.0,Galey
9,2017-01-10,2.4,11.2,7.2,74.0,Galey
10,2017-01-11,4.1,6.2,0.0,102.0,Stormy
11,2017-01-12,3.3,10.2,0.0,46.0,Breezy
12,2017-01-13,-5.2,0.0,0.0,56.0,Galey
13,2017-01-14,-6.2,0.0,0.0,29.0,Moderate
14,2017-01-15,-3.7,0.0,0.0,29.0,Moderate
15,2017-01-16,-1.9,0.0,0.0,32.0,Breezy
16,2017-01-17,0.7,12.2,0.0,44.0,Breezy
17,2017-01-18,2.0,0.4,0.0,33.0,Breezy
18,2017-01-19,1.9,0.0,0.0,29.0,Moderate
19,2017-01-20,2.2,0.2,0.0,29.0,Moderate
20,2017-01-21,4.2,0.0,0.0,29.0,Moderate
21,2017-01-22,3.6,0.0,0.0,39.0,Breezy
22,2017-01-23,2.2,0.0,0.0,41.0,Breezy
23,2017-01-24,0.4,0.0,0.0,37.0,Breezy
24,2017-01-25,2.2,1.0,0.0,29.0,Moderate
25,2017-01-26,2.1,1.8,0.0,56.0,Galey
26,2017-01-27,0.1,0.0,0.0,56.0,Galey
27,2017-01-28,-1.7,0.0,0.6,44.0,Breezy
28,2017-01-29,-4.5,0.0,0.0,50.0,Galey
29,2017-01-30,-7.8,0.0,0.0,33.0,Breezy
30,2017-01-31,-4.1,0.0,2.4,35.0,Breezy
31,2017-02-01,-1.2,0.0,0.4,48.0,Breezy
32,2017-02-02,-5.0,0.0,0.0,63.0,Galey
33,2017-02-03,-7.1,0.0,0.0,54.0,Galey
34,2017-02-04,-5.7,0.0,0.0,44.0,Breezy
