,Date/Time,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Spd of Max Gust (km/h)
0,2017-01-01,-0.4,0.0,0.0,50
1,2017-01-02,0.4,0.0,0.0,35
2,2017-01-03,3.1,15.8,0.0,<31
3,2017-01-04,-2.5,0.2,0.0,80
4,2017-01-05,-9.2,0.0,0.0,56
5,2017-01-06,-10.4,0.0,0.0,43
6,2017-01-07,-10.9,0.0,0.0,41
7,2017-01-08,-11.2,0.0,0.0,50
8,2017-01-09,-6.1,0.0,0.0,57
9,2017-01-10,2.4,11.2,7.2,74
10,2017-01-11,4.1,6.2,0.0,102
11,2017-01-12,3.3,10.2,0.0,46
12,2017-01-13,-5.2,0.0,0.0,56
13,2017-01-14,-6.2,0.0,0.0,<31
14,2017-01-15,-3.7,0.0,0.0,<31
15,2017-01-16,-1.9,0.0,0.0,32
16,2017-01-17,0.7,12.2,0.0,44
17,2017-01-18,2.0,0.4,0.0,33
18,2017-01-19,1.9,0.0,0.0,<31
19,2017-01-20,2.2,0.2,0.0,<31
20,2017-01-21,4.2,0.0,0.0,<31
21,2017-01-22,3.6,0.0,0.0,39
22,2017-01-23,2.2,0.0,0.0,41
23,2017-01-24,0.4,0.0,0.0,37
24,2017-01-25,2.2,1.0,0.0,<31
25,2017-01-26,2.1,1.8,0.0,56
26,2017-01-27,0.1,0.0,0.0,56
27,2017-01-28,-1.7,0.0,0.6,44
28,2017-01-29,-4.5,0.0,0.0,50
29,2017-01-30,-7.8,0.0,0.0,33
30,2017-01-31,-4.1,0.0,2.4,35
31,2017-02-01,-1.2,0.0,0.4,48
32,2017-02-02,-5.0,0.0,0.0,63
33,2017-02-03,-7.1,0.0,0.0,54
34,2017-02-04,-5.7,0.0,0.0,44
35,2017-02-05,-1.5,0.0,0.8,56
36,2017-02-06,-2.2,0.0,0.0,<31
37,2017-02-07,1.4,15.4,0.0,52
38,2017-02-08,-2.1,0.0,0.0,69
39,2017-02-09,-8.2,0.0,0.0,50
40,2017-02-10,-5.0,0.0,3.8,52
41,2017-02-11,-0.1,0.0,0.0,32
42,2017-02-12,-1.5,0.0,15.6,78
43,2017-02-13,-3.8,0.0,0.0,72
44,2017-02-14,-1.5,0.0,0.0,43
45,2017-02-15,-2.2,0.0,0.0,63
46,2017-02-16,-6.5,0.0,0.0,44
47,2017-02-17,-3.2,0.0,0.0,<31
48,2017-02-18,4.2,0.0,0.0,65
49,2017-02-19,6.6,0.0,0.0,46
50,2017-02-20,2.3,0.0,0.0,35
51,2017-02-21,3.1,1.4,0.0,37
52,2017-02-22,5.6,0.0,0.0,<31
53,2017-02-23,10.9,0.0,0.0,57
54,2017-02-24,4.2,6.8,0.0,37
55,2017-02-25,2.5,11.6,0.2,69
56,2017-02-26,-0.7,0.0,0.0,44
57,2017-02-27,4.9,0.0,0.0,41
58,2017-02-28,5.4,3.2,0.0,<31
59,2017-03-01,5.0,19.8,0.0,82
60,2017-03-02,-4.9,0.0,0.0,72
61,2017-03-03,-7.5,0.0,0.2,72
62,2017-03-04,-9.6,0.0,0.0,46
63,2017-03-05,-7.1,0.0,0.0,43
64,2017-03-06,2.2,0.4,0.0,<31
65,2017-03-07,9.2,,,<31
66,2017-03-08,5.4,0.0,0.0,89
67,2017-03-09,0.4,0.0,0.0,69
68,2017-03-10,-5.8,0.0,0.0,82
69,2017-03-11,-9.6,0.0,0.0,74
70,2017-03-12,-8.9,0.0,0.0,46
71,2017-03-13,-8.8,0.0,1.8,35
72,2017-03-14,-9.7,0.0,1.4,70
73,2017-03-15,-6.2,0.0,1.2,78
74,2017-03-16,-2.7,0.0,0.0,56
75,2017-03-17,-0.8,0.0,0.0,33
76,2017-03-18,1.1,0.0,0.4,33
77,2017-03-19,3.3,0.0,0.0,<31
78,2017-03-20,2.7,0.0,0.0,32
79,2017-03-21,3.9,0.0,0.0,69
80,2017-03-22,-5.3,0.0,0.0,59
81,2017-03-23,-3.0,0.0,0.0,32
82,2017-03-24,8.0,7.6,0.0,46
83,2017-03-25,2.5,7.8,0.0,43
84,2017-03-26,3.2,3.0,0.0,46
85,2017-03-27,11.1,2.2,0.0,39
86,2017-03-28,5.9,0.0,0.0,41
87,2017-03-29,5.5,0.0,0.0,41
88,2017-03-30,1.9,6.2,1.8,63
89,2017-03-31,2.6,10.0,0.0,54
90,2017-04-01,6.2,0.0,0.0,43
91,2017-04-02,8.8,0.0,0.0,54
92,2017-04-03,9.0,6.0,0.0,57
93,2017-04-04,8.3,11.8,0.0,63
